account_id,true_group_id,true_relation_type,building_id,unit_id,noise_level,split
ACC-000102,REL-00057,shared_residence,15,1,moderate,train
ACC-000103,REL-00058,singleton,15,2,moderate,train
ACC-000104,REL-00059,household_signal,15,3,heavy,train
ACC-000105,REL-00059,household_signal,15,3,clean,train
ACC-000106,REL-00059,household_signal,15,3,heavy,train
ACC-000107,REL-00060,household_signal,15,4,moderate,train
ACC-000108,REL-00060,household_signal,15,4,clean,train
ACC-000109,REL-00060,household_signal,15,4,moderate,train
ACC-000110,REL-00061,household_signal,16,1,clean,train
ACC-000111,REL-00061,household_signal,16,1,moderate,train
ACC-000112,REL-00061,household_signal,16,1,clean,train
ACC-000113,REL-00062,singleton,16,2,moderate,train
ACC-000114,REL-00063,shared_residence,16,3,moderate,train
ACC-000115,REL-00063,shared_residence,16,3,heavy,train
ACC-000116,REL-00064,household_signal,16,4,moderate,train
ACC-000117,REL-00064,household_signal,16,4,clean,train
ACC-000118,REL-00064,household_signal,16,4,clean,train
ACC-000119,REL-00064,household_signal,16,4,clean,train
ACC-000120,REL-00065,singleton,17,1,clean,train
ACC-000121,REL-00066,household_signal,17,2,moderate,train
ACC-000122,REL-00066,household_signal,17,2,moderate,train
ACC-000123,REL-00067,singleton,17,3,moderate,train
ACC-000124,REL-00068,shared_residence,17,4,clean,train
ACC-000125,REL-00068,shared_residence,17,4,clean,train
ACC-000126,REL-00069,household_signal,18,1,moderate,train
ACC-000127,REL-00069,household_signal,18,1,clean,train
ACC-000128,REL-00070,household_signal,18,2,heavy,train
ACC-000129,REL-00070,household_signal,18,2,moderate,train
ACC-000130,REL-00070,household_signal,18,2,moderate,train
ACC-000131,REL-00071,singleton,18,3,clean,train
ACC-000132,REL-00072,household_signal,18,4,heavy,train
ACC-000133,REL-00072,household_signal,18,4,heavy,train
ACC-000134,REL-00072,household_signal,18,4,heavy,train
ACC-000135,REL-00073,shared_residence,19,1,clean,train
ACC-000136,REL-00073,shared_residence,19,1,heavy,train
ACC-000137,REL-00074,shared_residence,19,2,moderate,train
ACC-000138,REL-00074,shared_residence,19,2,moderate,train
ACC-000139,REL-00075,household_signal,19,3,clean,train
ACC-000140,REL-00075,household_signal,19,3,heavy,train
ACC-000141,REL-00076,shared_residence,19,4,moderate,train
ACC-000142,REL-00076,shared_residence,19,4,moderate,train
ACC-000143,REL-00076,shared_residence,19,4,heavy,train
ACC-000144,REL-00077,singleton,20,1,heavy,train
ACC-000145,REL-00078,household_signal,20,2,moderate,train
ACC-000146,REL-00078,household_signal,20,2,moderate,train
ACC-000147,REL-00079,singleton,20,3,moderate,train
ACC-000148,REL-00080,singleton,20,4,clean,train
ACC-000149,REL-00081,singleton,21,1,clean,validation
ACC-000150,REL-00082,singleton,21,2,clean,validation
ACC-000151,REL-00083,household_signal,21,3,clean,validation
ACC-000152,REL-00083,household_signal,21,3,heavy,validation
ACC-000153,REL-00084,household_signal,21,4,heavy,validation
ACC-000154,REL-00084,household_signal,21,4,heavy,validation
ACC-000155,REL-00085,household_signal,22,1,heavy,train
ACC-000156,REL-00085,household_signal,22,1,moderate,train
ACC-000157,REL-00085,household_signal,22,1,heavy,train
ACC-000158,REL-00086,shared_residence,22,2,moderate,train
ACC-000159,REL-00086,shared_residence,22,2,moderate,train
ACC-000160,REL-00086,shared_residence,22,2,clean,train
ACC-000161,REL-00086,shared_residence,22,2,moderate,train
ACC-000162,REL-00087,singleton,22,3,clean,train
ACC-000163,REL-00088,singleton,22,4,moderate,train
ACC-000164,REL-00089,household_signal,23,1,heavy,train
ACC-000165,REL-00089,household_signal,23,1,clean,train
ACC-000166,REL-00090,shared_residence,23,2,clean,train
ACC-000167,REL-00090,shared_residence,23,2,moderate,train
ACC-000168,REL-00090,shared_residence,23,2,clean,train
ACC-000169,REL-00091,singleton,23,3,moderate,train
ACC-000170,REL-00092,singleton,23,4,moderate,train
ACC-000171,REL-00093,shared_residence,24,1,moderate,train
ACC-000172,REL-00093,shared_residence,24,1,heavy,train
ACC-000173,REL-00094,shared_residence,24,2,moderate,train
ACC-000174,REL-00094,shared_residence,24,2,moderate,train
ACC-000175,REL-00095,shared_residence,24,3,moderate,train
ACC-000176,REL-00095,shared_residence,24,3,moderate,train
ACC-000177,REL-00096,singleton,24,4,moderate,train
ACC-000178,REL-00097,household_signal,25,1,moderate,validation
ACC-000179,REL-00097,household_signal,25,1,clean,validation
ACC-000180,REL-00098,singleton,25,2,moderate,validation
ACC-000181,REL-00099,singleton,25,3,moderate,validation
ACC-000182,REL-00100,singleton,25,4,moderate,validation
ACC-000183,REL-00101,singleton,26,1,moderate,validation
ACC-000184,REL-00102,household_signal,26,2,heavy,validation
ACC-000185,REL-00102,household_signal,26,2,clean,validation
ACC-000186,REL-00103,shared_location,26,3,moderate,validation
ACC-000187,REL-00103,shared_location,26,3,moderate,validation
ACC-000188,REL-00103,shared_location,26,3,clean,validation
ACC-000189,REL-00103,shared_location,26,3,moderate,validation
ACC-000190,REL-00103,shared_location,26,3,heavy,validation
ACC-000191,REL-00103,shared_location,26,3,heavy,validation
ACC-000192,REL-00104,singleton,26,4,moderate,validation
ACC-000193,REL-00105,shared_residence,27,1,clean,train
ACC-000194,REL-00105,shared_residence,27,1,heavy,train
ACC-000195,REL-00105,shared_residence,27,1,moderate,train
ACC-000196,REL-00105,shared_residence,27,1,moderate,train
ACC-000197,REL-00106,household_signal,27,2,moderate,train
ACC-000198,REL-00106,household_signal,27,2,moderate,train
ACC-000199,REL-00107,shared_residence,27,3,heavy,train
ACC-000200,REL-00107,shared_residence,27,3,heavy,train
ACC-000201,REL-00107,shared_residence,27,3,clean,train
ACC-000202,REL-00108,household_signal,27,4,moderate,train
ACC-000203,REL-00108,household_signal,27,4,heavy,train
ACC-000204,REL-00108,household_signal,27,4,moderate,train
ACC-000205,REL-00109,household_signal,28,1,moderate,test
ACC-000206,REL-00109,household_signal,28,1,clean,test
ACC-000207,REL-00109,household_signal,28,1,heavy,test
ACC-000208,REL-00110,shared_location,28,2,heavy,test
ACC-000209,REL-00110,shared_location,28,2,moderate,test
ACC-000210,REL-00110,shared_location,28,2,heavy,test
ACC-000211,REL-00110,shared_location,28,2,clean,test
ACC-000212,REL-00110,shared_location,28,2,heavy,test
ACC-000213,REL-00110,shared_location,28,2,moderate,test
ACC-000214,REL-00111,singleton,28,3,heavy,test
ACC-000215,REL-00112,household_signal,28,4,clean,test
ACC-000216,REL-00112,household_signal,28,4,clean,test
ACC-000217,REL-00112,household_signal,28,4,clean,test
ACC-000218,REL-00112,household_signal,28,4,clean,test
ACC-000219,REL-00113,singleton,29,1,heavy,test
ACC-000220,REL-00114,singleton,29,2,heavy,test
ACC-000221,REL-00115,singleton,29,3,heavy,test
ACC-000222,REL-00116,shared_residence,29,4,moderate,test
ACC-000223,REL-00116,shared_residence,29,4,moderate,test
ACC-000224,REL-00117,household_signal,30,1,moderate,train
ACC-000225,REL-00117,household_signal,30,1,moderate,train
ACC-000226,REL-00117,household_signal,30,1,moderate,train
ACC-000227,REL-00117,household_signal,30,1,moderate,train
ACC-000228,REL-00118,singleton,30,2,moderate,train
ACC-000229,REL-00119,household_signal,30,3,heavy,train
ACC-000230,REL-00119,household_signal,30,3,heavy,train
ACC-000231,REL-00119,household_signal,30,3,clean,train
ACC-000232,REL-00120,household_signal,30,4,heavy,train
ACC-000233,REL-00120,household_signal,30,4,moderate,train
ACC-000234,REL-00121,shared_location,31,1,heavy,train
ACC-000235,REL-00121,shared_location,31,1,heavy,train
ACC-000236,REL-00121,shared_location,31,1,moderate,train
ACC-000237,REL-00121,shared_location,31,1,heavy,train
ACC-000238,REL-00121,shared_location,31,1,moderate,train
ACC-000239,REL-00121,shared_location,31,1,moderate,train
ACC-000240,REL-00122,household_signal,31,2,moderate,train
ACC-000241,REL-00122,household_signal,31,2,clean,train
ACC-000242,REL-00123,household_signal,31,3,heavy,train
ACC-000243,REL-00123,household_signal,31,3,moderate,train
ACC-000244,REL-00123,household_signal,31,3,heavy,train
ACC-000245,REL-00123,household_signal,31,3,clean,train
ACC-000246,REL-00124,household_signal,31,4,moderate,train
ACC-000247,REL-00124,household_signal,31,4,clean,train
ACC-000248,REL-00124,household_signal,31,4,clean,train
ACC-000249,REL-00125,shared_residence,32,1,heavy,train
ACC-000250,REL-00125,shared_residence,32,1,moderate,train
ACC-000251,REL-00125,shared_residence,32,1,moderate,train
ACC-000252,REL-00126,singleton,32,2,moderate,train
ACC-000253,REL-00127,household_signal,32,3,heavy,train
ACC-000254,REL-00127,household_signal,32,3,moderate,train
ACC-000255,REL-00127,household_signal,32,3,clean,train
ACC-000256,REL-00128,household_signal,32,4,moderate,train
ACC-000257,REL-00128,household_signal,32,4,heavy,train
ACC-000258,REL-00128,household_signal,32,4,moderate,train
ACC-000259,REL-00128,household_signal,32,4,moderate,train
ACC-000260,REL-00129,household_signal,33,1,heavy,test
ACC-000261,REL-00129,household_signal,33,1,heavy,test
ACC-000262,REL-00129,household_signal,33,1,moderate,test
ACC-000263,REL-00130,household_signal,33,2,heavy,test
ACC-000264,REL-00130,household_signal,33,2,moderate,test
ACC-000265,REL-00131,shared_location,33,3,moderate,test
ACC-000266,REL-00131,shared_location,33,3,moderate,test
ACC-000267,REL-00131,shared_location,33,3,moderate,test
ACC-000268,REL-00131,shared_location,33,3,moderate,test
ACC-000269,REL-00131,shared_location,33,3,clean,test
ACC-000270,REL-00131,shared_location,33,3,clean,test
ACC-000271,REL-00132,shared_residence,33,4,moderate,test
ACC-000272,REL-00132,shared_residence,33,4,moderate,test
ACC-000273,REL-00133,singleton,34,1,clean,validation
ACC-000274,REL-00134,shared_residence,34,2,clean,validation
ACC-000275,REL-00134,shared_residence,34,2,heavy,validation
ACC-000276,REL-00135,singleton,34,3,moderate,validation
ACC-000277,REL-00136,household_signal,34,4,clean,validation
ACC-000278,REL-00136,household_signal,34,4,moderate,validation
ACC-000279,REL-00136,household_signal,34,4,moderate,validation
ACC-000280,REL-00137,shared_residence,35,1,heavy,train
ACC-000281,REL-00137,shared_residence,35,1,moderate,train
ACC-000282,REL-00138,shared_residence,35,2,clean,train
ACC-000283,REL-00138,shared_residence,35,2,heavy,train
ACC-000284,REL-00139,singleton,35,3,moderate,train
ACC-000285,REL-00140,household_signal,35,4,clean,train
ACC-000286,REL-00140,household_signal,35,4,moderate,train
ACC-000287,REL-00141,household_signal,36,1,heavy,train
ACC-000288,REL-00141,household_signal,36,1,heavy,train
ACC-000289,REL-00141,household_signal,36,1,moderate,train
ACC-000290,REL-00142,shared_location,36,2,clean,train
ACC-000291,REL-00142,shared_location,36,2,heavy,train
ACC-000292,REL-00142,shared_location,36,2,clean,train
ACC-000293,REL-00142,shared_location,36,2,moderate,train
ACC-000294,REL-00142,shared_location,36,2,heavy,train
ACC-000295,REL-00142,shared_location,36,2,moderate,train
ACC-000296,REL-00143,singleton,36,3,moderate,train
ACC-000297,REL-00144,household_signal,36,4,heavy,train
ACC-000298,REL-00144,household_signal,36,4,heavy,train
ACC-000299,REL-00145,shared_residence,37,1,clean,train
ACC-000300,REL-00145,shared_residence,37,1,heavy,train
ACC-000301,REL-00146,singleton,37,2,moderate,train
ACC-000302,REL-00147,shared_residence,37,3,moderate,train
ACC-000303,REL-00147,shared_residence,37,3,heavy,train
ACC-000304,REL-00147,shared_residence,37,3,moderate,train
ACC-000305,REL-00147,shared_residence,37,3,heavy,train
ACC-000306,REL-00148,singleton,37,4,heavy,train
ACC-000307,REL-00149,household_signal,38,1,heavy,validation
ACC-000308,REL-00149,household_signal,38,1,heavy,validation
ACC-000309,REL-00150,shared_residence,38,2,clean,validation
ACC-000310,REL-00150,shared_residence,38,2,moderate,validation
ACC-000311,REL-00151,household_signal,38,3,moderate,validation
ACC-000312,REL-00151,household_signal,38,3,clean,validation
ACC-000313,REL-00151,household_signal,38,3,clean,validation
ACC-000314,REL-00151,household_signal,38,3,clean,validation
ACC-000315,REL-00152,shared_residence,38,4,moderate,validation
ACC-000316,REL-00152,shared_residence,38,4,moderate,validation
ACC-000317,REL-00153,household_signal,39,1,moderate,validation
ACC-000318,REL-00153,household_signal,39,1,moderate,validation
ACC-000319,REL-00153,household_signal,39,1,clean,validation
ACC-000320,REL-00154,singleton,39,2,heavy,validation
ACC-000321,REL-00155,household_signal,39,3,moderate,validation
ACC-000322,REL-00155,household_signal,39,3,clean,validation
ACC-000323,REL-00155,household_signal,39,3,moderate,validation
ACC-000324,REL-00156,singleton,39,4,moderate,validation
ACC-000325,REL-00157,singleton,40,1,moderate,test
ACC-000326,REL-00158,household_signal,40,2,moderate,test
ACC-000327,REL-00158,household_signal,40,2,moderate,test
ACC-000328,REL-00159,household_signal,40,3,heavy,test
ACC-000329,REL-00159,household_signal,40,3,moderate,test
ACC-000330,REL-00159,household_signal,40,3,moderate,test
ACC-000331,REL-00160,household_signal,40,4,heavy,test
ACC-000332,REL-00160,household_signal,40,4,moderate,test
ACC-000333,REL-00161,singleton,41,1,heavy,train
ACC-000334,REL-00162,singleton,41,2,moderate,train
ACC-000335,REL-00163,shared_residence,41,3,heavy,train
ACC-000336,REL-00163,shared_residence,41,3,clean,train
ACC-000337,REL-00164,household_signal,41,4,heavy,train
ACC-000338,REL-00164,household_signal,41,4,heavy,train
ACC-000339,REL-00165,household_signal,42,1,moderate,train
ACC-000340,REL-00165,household_signal,42,1,clean,train
ACC-000341,REL-00166,singleton,42,2,moderate,train
ACC-000342,REL-00167,singleton,42,3,clean,train
ACC-000343,REL-00168,singleton,42,4,clean,train
ACC-000344,REL-00169,singleton,43,1,heavy,train
ACC-000345,REL-00170,singleton,43,2,heavy,train
ACC-000346,REL-00171,singleton,43,3,clean,train
ACC-000347,REL-00172,shared_residence,43,4,moderate,train
ACC-000348,REL-00172,shared_residence,43,4,clean,train
ACC-000349,REL-00173,household_signal,44,1,moderate,train
ACC-000350,REL-00173,household_signal,44,1,heavy,train
ACC-000351,REL-00173,household_signal,44,1,clean,train
ACC-000352,REL-00174,singleton,44,2,heavy,train
ACC-000353,REL-00175,shared_residence,44,3,clean,train
ACC-000354,REL-00175,shared_residence,44,3,heavy,train
ACC-000355,REL-00175,shared_residence,44,3,moderate,train
ACC-000356,REL-00175,shared_residence,44,3,clean,train
ACC-000357,REL-00176,household_signal,44,4,moderate,train
ACC-000358,REL-00176,household_signal,44,4,moderate,train
ACC-000359,REL-00176,household_signal,44,4,heavy,train
ACC-000360,REL-00177,singleton,45,1,moderate,train
ACC-000361,REL-00178,shared_residence,45,2,clean,train
ACC-000362,REL-00178,shared_residence,45,2,moderate,train
ACC-000363,REL-00179,household_signal,45,3,moderate,train
ACC-000364,REL-00179,household_signal,45,3,heavy,train
ACC-000365,REL-00179,household_signal,45,3,moderate,train
ACC-000366,REL-00180,singleton,45,4,moderate,train
ACC-000367,REL-00181,singleton,46,1,moderate,train
ACC-000368,REL-00182,singleton,46,2,clean,train
ACC-000369,REL-00183,singleton,46,3,heavy,train
ACC-000370,REL-00184,singleton,46,4,moderate,train
ACC-000371,REL-00185,singleton,47,1,moderate,validation
ACC-000372,REL-00186,shared_residence,47,2,heavy,validation
ACC-000373,REL-00186,shared_residence,47,2,heavy,validation
ACC-000374,REL-00187,shared_location,47,3,moderate,validation
ACC-000375,REL-00187,shared_location,47,3,heavy,validation
ACC-000376,REL-00187,shared_location,47,3,heavy,validation
ACC-000377,REL-00187,shared_location,47,3,moderate,validation
ACC-000378,REL-00187,shared_location,47,3,moderate,validation
ACC-000379,REL-00187,shared_location,47,3,moderate,validation
ACC-000380,REL-00188,singleton,47,4,clean,validation
ACC-000381,REL-00189,singleton,48,1,moderate,train
ACC-000382,REL-00190,household_signal,48,2,heavy,train
ACC-000383,REL-00190,household_signal,48,2,moderate,train
ACC-000384,REL-00191,shared_residence,48,3,moderate,train
ACC-000385,REL-00191,shared_residence,48,3,heavy,train
ACC-000386,REL-00191,shared_residence,48,3,clean,train
ACC-000387,REL-00192,household_signal,48,4,clean,train
ACC-000388,REL-00192,household_signal,48,4,clean,train
ACC-000389,REL-00192,household_signal,48,4,moderate,train
ACC-000390,REL-00192,household_signal,48,4,heavy,train
ACC-000391,REL-00193,shared_residence,49,1,moderate,train
ACC-000392,REL-00193,shared_residence,49,1,moderate,train
ACC-000393,REL-00193,shared_residence,49,1,moderate,train
ACC-000394,REL-00194,shared_residence,49,2,moderate,train
ACC-000395,REL-00194,shared_residence,49,2,clean,train
ACC-000396,REL-00194,shared_residence,49,2,moderate,train
ACC-000397,REL-00195,singleton,49,3,heavy,train
ACC-000398,REL-00196,singleton,49,4,moderate,train
ACC-000399,REL-00197,household_signal,50,1,heavy,train
ACC-000400,REL-00197,household_signal,50,1,clean,train
ACC-000401,REL-00198,singleton,50,2,heavy,train
ACC-000402,REL-00199,shared_residence,50,3,clean,train
ACC-000403,REL-00199,shared_residence,50,3,clean,train
ACC-000404,REL-00200,singleton,50,4,moderate,train
ACC-000405,REL-00201,household_signal,51,1,clean,validation
ACC-000406,REL-00201,household_signal,51,1,moderate,validation
ACC-000407,REL-00202,household_signal,51,2,moderate,validation
ACC-000408,REL-00202,household_signal,51,2,clean,validation
ACC-000409,REL-00202,household_signal,51,2,moderate,validation
ACC-000410,REL-00202,household_signal,51,2,moderate,validation
ACC-000411,REL-00203,singleton,51,3,moderate,validation
ACC-000412,REL-00204,singleton,51,4,clean,validation
ACC-000413,REL-00205,household_signal,52,1,moderate,validation
ACC-000414,REL-00205,household_signal,52,1,moderate,validation
ACC-000415,REL-00206,household_signal,52,2,moderate,validation
ACC-000416,REL-00206,household_signal,52,2,moderate,validation
ACC-000417,REL-00206,household_signal,52,2,moderate,validation
ACC-000418,REL-00207,shared_residence,52,3,heavy,validation
ACC-000419,REL-00207,shared_residence,52,3,moderate,validation
ACC-000420,REL-00207,shared_residence,52,3,moderate,validation
ACC-000421,REL-00208,shared_residence,52,4,clean,validation
ACC-000422,REL-00208,shared_residence,52,4,heavy,validation
ACC-000423,REL-00208,shared_residence,52,4,moderate,validation
ACC-000424,REL-00208,shared_residence,52,4,heavy,validation
ACC-000425,REL-00209,singleton,53,1,moderate,validation
ACC-000426,REL-00210,shared_residence,53,2,clean,validation
ACC-000427,REL-00210,shared_residence,53,2,moderate,validation
ACC-000428,REL-00210,shared_residence,53,2,moderate,validation
ACC-000429,REL-00210,shared_residence,53,2,heavy,validation
ACC-000430,REL-00211,singleton,53,3,heavy,validation
ACC-000431,REL-00212,household_signal,53,4,heavy,validation
ACC-000432,REL-00212,household_signal,53,4,clean,validation
ACC-000433,REL-00213,singleton,54,1,moderate,train
ACC-000434,REL-00214,household_signal,54,2,clean,train
ACC-000435,REL-00214,household_signal,54,2,moderate,train
ACC-000436,REL-00214,household_signal,54,2,heavy,train
ACC-000437,REL-00215,singleton,54,3,moderate,train
ACC-000438,REL-00216,household_signal,54,4,moderate,train
ACC-000439,REL-00216,household_signal,54,4,moderate,train
ACC-000440,REL-00217,singleton,55,1,clean,validation
ACC-000441,REL-00218,shared_location,55,2,clean,validation
ACC-000442,REL-00218,shared_location,55,2,moderate,validation
ACC-000443,REL-00218,shared_location,55,2,moderate,validation
ACC-000444,REL-00218,shared_location,55,2,clean,validation
ACC-000445,REL-00218,shared_location,55,2,moderate,validation
ACC-000446,REL-00218,shared_location,55,2,heavy,validation
ACC-000447,REL-00219,singleton,55,3,heavy,validation
ACC-000448,REL-00220,singleton,55,4,moderate,validation
ACC-000449,REL-00221,household_signal,56,1,clean,train
ACC-000450,REL-00221,household_signal,56,1,clean,train
ACC-000451,REL-00221,household_signal,56,1,moderate,train
ACC-000452,REL-00221,household_signal,56,1,heavy,train
ACC-000453,REL-00222,singleton,56,2,moderate,train
ACC-000454,REL-00223,singleton,56,3,moderate,train
ACC-000455,REL-00224,household_signal,56,4,heavy,train
ACC-000456,REL-00224,household_signal,56,4,heavy,train
ACC-000457,REL-00224,household_signal,56,4,heavy,train
ACC-000458,REL-00225,household_signal,57,1,clean,validation
ACC-000459,REL-00225,household_signal,57,1,heavy,validation
ACC-000460,REL-00226,singleton,57,2,moderate,validation
ACC-000461,REL-00227,household_signal,57,3,clean,validation
ACC-000462,REL-00227,household_signal,57,3,clean,validation
ACC-000463,REL-00227,household_signal,57,3,heavy,validation
ACC-000464,REL-00227,household_signal,57,3,moderate,validation
ACC-000465,REL-00228,singleton,57,4,clean,validation
ACC-000466,REL-00229,singleton,58,1,moderate,train
ACC-000467,REL-00230,singleton,58,2,moderate,train
ACC-000468,REL-00231,shared_residence,58,3,heavy,train
ACC-000469,REL-00231,shared_residence,58,3,heavy,train
ACC-000470,REL-00231,shared_residence,58,3,moderate,train
ACC-000471,REL-00231,shared_residence,58,3,moderate,train
ACC-000472,REL-00232,singleton,58,4,clean,train
ACC-000473,REL-00233,household_signal,59,1,moderate,train
ACC-000474,REL-00233,household_signal,59,1,clean,train
ACC-000475,REL-00233,household_signal,59,1,moderate,train
ACC-000476,REL-00233,household_signal,59,1,moderate,train
ACC-000477,REL-00234,shared_residence,59,2,moderate,train
ACC-000478,REL-00234,shared_residence,59,2,heavy,train
ACC-000479,REL-00234,shared_residence,59,2,clean,train
ACC-000480,REL-00235,singleton,59,3,clean,train
ACC-000481,REL-00236,shared_residence,59,4,moderate,train
ACC-000482,REL-00236,shared_residence,59,4,heavy,train
ACC-000483,REL-00236,shared_residence,59,4,moderate,train
ACC-000484,REL-00237,singleton,60,1,moderate,train
ACC-000485,REL-00238,household_signal,60,2,heavy,train
ACC-000486,REL-00238,household_signal,60,2,heavy,train
ACC-000487,REL-00239,household_signal,60,3,moderate,train
ACC-000488,REL-00239,household_signal,60,3,clean,train
ACC-000489,REL-00240,household_signal,60,4,moderate,train
ACC-000490,REL-00240,household_signal,60,4,moderate,train
ACC-000491,REL-00241,household_signal,61,1,heavy,train
ACC-000492,REL-00241,household_signal,61,1,moderate,train
ACC-000493,REL-00241,household_signal,61,1,clean,train
ACC-000494,REL-00241,household_signal,61,1,moderate,train
ACC-000495,REL-00242,household_signal,61,2,moderate,train
ACC-000496,REL-00242,household_signal,61,2,moderate,train
ACC-000497,REL-00242,household_signal,61,2,heavy,train
